pointid,deb thickness,Lat,Long,Easting,Northing,MF
31,0.111832,60.82467523,-138.6051546,27672.69361,6743366.429,1.09465
32,0.089294,60.82466825,-138.6033159,27772.69361,6743366.429,1.27754
33,0.105291,60.82466125,-138.6014772,27872.69361,6743366.429,1.1421
34,0.0323491,60.82381876,-138.6162009,27072.69361,6743266.429,2.2107999
35,0.0375575,60.82381194,-138.6143622,27172.69361,6743266.429,2.07234
36,0.0295045,60.82380509,-138.6125235,27272.69361,6743266.429,2.2681601
37,0.0557323,60.82379822,-138.6106849,27372.69361,6743266.429,1.70066
38,0.102963,60.82379132,-138.6088462,27472.69361,6743266.429,1.16001
39,0.111381,60.8237844,-138.6070075,27572.69361,6743266.429,1.0978
40,0.0958001,60.82377745,-138.6051689,27672.69361,6743266.429,1.21876
41,0.0858913,60.82377047,-138.6033302,27772.69361,6743266.429,1.3106
42,0.0955704,60.82376347,-138.6014916,27872.69361,6743266.429,1.22075
43,0.275186,60.82375645,-138.5996529,27972.69361,6743266.429,0.537228
44,0.0359252,60.82292098,-138.6162148,27072.69361,6743166.429,2.1138301
45,0.0401683,60.82291416,-138.6143762,27172.69361,6743166.429,2.0092599
46,0.0276889,60.82290731,-138.6125376,27272.69361,6743166.429,2.2681601
47,0.0575446,60.82290044,-138.610699,27372.69361,6743166.429,1.6707799
48,0.107037,60.82289354,-138.6088604,27472.69361,6743166.429,1.12904
